name,year,selling_price,seller_type,transmission,owner,km_driven,fuel,mileage,engine,max_power,seats
Audi A6 2.0 TDI  Design Edition,2013,1735000.0,Dealer,Automatic,First Owner,50000.0,Diesel,,,,
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000.0,Dealer,Automatic,Second Owner,33800.0,Diesel,,,,
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000.0,Dealer,Automatic,Second Owner,130400.0,Diesel,,,,
Toyota Corolla Altis G AT,2016,900000.0,Individual,Automatic,First Owner,50000.0,Petrol,,,,
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000.0,Individual,Manual,First Owner,80000.0,Diesel,,,,
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000.0,Individual,Manual,First Owner,10000.0,Petrol,,,,
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000.0,Dealer,Automatic,First Owner,119000.0,Petrol,,,,
Hyundai i10 Magna 1.1L,2014,229999.0,Individual,Manual,Fourth & Above Owner,60000.0,Petrol,,,,
BMW 3 Series 320d Sport Line,2013,1550000.0,Dealer,Automatic,Second Owner,75800.0,Diesel,,,,
Audi Q7 35 TDI Quattro Premium,2009,1250000.0,Dealer,Automatic,Third Owner,78000.0,Diesel,,,,
Hyundai Elantra CRDi S,2012,625000.0,Individual,Manual,First Owner,40000.0,Diesel,,,,
Mahindra Scorpio 1.99 S10,2014,1050000.0,Individual,Manual,First Owner,50000.0,Diesel,,,,
Honda City i DTEC V,2014,560000.0,Individual,Manual,Second Owner,74000.0,Diesel,,,,
Maruti Wagon R VXI BS IV with ABS,2014,290000.0,Individual,Manual,Second Owner,64000.0,Petrol,,,,
Maruti Wagon R VXI BS IV,2012,275000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Mahindra Scorpio LX,2009,411000.0,Individual,Manual,Second Owner,120000.0,Diesel,,,,
Hyundai Santro Xing GLS,2009,150000.0,Individual,Manual,Third Owner,79000.0,Petrol,,,,
Hyundai Grand i10 1.2 Kappa Asta,2019,500000.0,Individual,Manual,First Owner,15000.0,Petrol,,,,
Maruti Alto LXi,2006,100000.0,Individual,Manual,First Owner,80000.0,Petrol,,,,
Maruti Swift Dzire VDI Optional,2017,725000.0,Dealer,Manual,First Owner,18500.0,Diesel,,,,
Maruti Eeco 5 Seater AC BSIV,2018,401000.0,Dealer,Manual,First Owner,10200.0,Petrol,,,,
Hyundai i20 Sportz 1.4 CRDi,2018,750000.0,Dealer,Manual,First Owner,29000.0,Diesel,,,,
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000.0,Dealer,Manual,First Owner,28000.0,Petrol,,,,
Maruti Swift ZDi BSIV,2016,665000.0,Dealer,Manual,First Owner,46000.0,Diesel,,,,
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000.0,Dealer,Manual,First Owner,70000.0,Diesel,,,,
Maruti Alto LXi,2012,160000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Mahindra Jeep CL 500 MDI,1996,250000.0,Individual,Manual,Second Owner,35000.0,Diesel,,,,
Honda City i DTEC VX,2014,675000.0,Dealer,Manual,First Owner,90000.0,Diesel,,,,
Maruti Wagon R VXI BS IV,2013,300000.0,Dealer,Manual,First Owner,80000.0,Petrol,,,,
Tata Indica DLS,2005,70000.0,Individual,Manual,First Owner,80000.0,Diesel,,,,
Hyundai EON Magna Plus,2014,240000.0,Dealer,Manual,Second Owner,73300.0,Petrol,,,,
Toyota Etios GD,2014,525000.0,Dealer,Manual,First Owner,92000.0,Diesel,,,,
Maruti Alto LXi,2009,151000.0,Dealer,Manual,Second Owner,66764.0,Petrol,,,,
Maruti Alto LXi,2009,140000.0,Individual,Manual,First Owner,100000.0,Petrol,,,,
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000.0,Individual,Manual,Second Owner,350000.0,Diesel,,,,
Toyota Corolla Altis Diesel D4DG,2011,350000.0,Individual,Manual,First Owner,230000.0,Diesel,,,,
Mahindra Scorpio 1.99 S6 Plus,2017,570000.0,Individual,Manual,First Owner,60000.0,Diesel,,,,
Hyundai EON Magna Plus,2018,300000.0,Individual,Manual,First Owner,31000.0,Petrol,,,,
Tata Indigo Classic Dicor,2007,100000.0,Individual,Manual,First Owner,39000.0,Diesel,,,,
Toyota Innova 2.5 V Diesel 8-seater,2009,500000.0,Individual,Manual,Third Owner,120000.0,Diesel,,,,
Tata Indica Vista Quadrajet LS,2014,125000.0,Individual,Manual,Fourth & Above Owner,166000.0,Diesel,,,,
Maruti Swift 1.3 VXi,2006,130000.0,Individual,Manual,Third Owner,110000.0,Petrol,,,,
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000.0,Individual,Manual,First Owner,35000.0,Diesel,,,,
Maruti Ciaz 1.3 Delta,2018,750000.0,Individual,Manual,First Owner,60000.0,Diesel,,,,
Honda Civic 1.8 V AT,2007,200000.0,Individual,Automatic,Second Owner,54000.0,Petrol,,,,
Hyundai i10 Sportz 1.2,2010,248000.0,Individual,Manual,Second Owner,63000.0,Petrol,,,,
Skoda Rapid 1.5 TDI Elegance,2014,450000.0,Individual,Manual,Second Owner,120000.0,Diesel,,,,
Hyundai Getz GLS,2005,80000.0,Individual,Manual,Third Owner,120000.0,Petrol,,,,
Nissan Terrano XL,2014,650000.0,Individual,Manual,Second Owner,76000.0,Petrol,,,,
Hyundai Grand i10 CRDi Sportz,2015,450000.0,Individual,Manual,First Owner,80000.0,Diesel,,,,
Hyundai Elite i20 Diesel Era,2019,650000.0,Individual,Manual,First Owner,25000.0,Diesel,,,,
Honda Amaze S i-VTEC,2016,495000.0,Dealer,Manual,First Owner,11958.0,Petrol,,,,
Honda Brio S MT,2015,371000.0,Dealer,Manual,First Owner,20000.0,Petrol,,,,
Hyundai Creta 1.6 SX Option,2017,1025000.0,Dealer,Manual,First Owner,9000.0,Petrol,,,,
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000.0,Dealer,Automatic,First Owner,6500.0,Diesel,,,,
Mahindra XUV500 W8 2WD,2015,750000.0,Individual,Manual,First Owner,70000.0,Diesel,,,,
Renault Duster 85PS Diesel RxL Optional,2013,600000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Hyundai Santro Xing XO,2007,80000.0,Dealer,Manual,Second Owner,58000.0,Petrol,,,,
Mahindra Bolero 2011-2019 SLE,2013,325000.0,Dealer,Manual,First Owner,62200.0,Diesel,,,,
Audi A6 2.0 TDI Premium Plus,2014,1470000.0,Dealer,Automatic,Second Owner,34000.0,Diesel,,,,
Fiat Avventura MULTIJET Emotion,2015,350000.0,Individual,Manual,Second Owner,53000.0,Diesel,,,,
Audi A8 4.2 TDI,2013,2800000.0,Dealer,Automatic,First Owner,49000.0,Diesel,,,,
Datsun RediGO 1.0 S,2017,210000.0,Dealer,Manual,Second Owner,15000.0,Petrol,,,,
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000.0,Individual,Manual,First Owner,50000.0,Petrol,,,,
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000.0,Dealer,Automatic,First Owner,53000.0,Diesel,,,,
Honda Civic 1.8 V AT,2009,210000.0,Dealer,Automatic,First Owner,63500.0,Petrol,,,,
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000.0,Dealer,Automatic,First Owner,9800.0,Petrol,,,,
BMW X1 sDrive 20d xLine,2017,2750000.0,Individual,Automatic,First Owner,13000.0,Diesel,,,,
Volvo V40 D3 R Design,2018,1975000.0,Dealer,Automatic,First Owner,21000.0,Diesel,,,,
Maruti SX4 Zxi BSIII,2008,175000.0,Dealer,Manual,First Owner,29173.0,Petrol,,,,
BMW 7 Series 730Ld,2012,2500000.0,Dealer,Automatic,First Owner,48000.0,Diesel,,,,
Mahindra Bolero Power Plus SLX,2017,628000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Hyundai Sonata CRDi M/T,2010,600000.0,Individual,Manual,First Owner,100000.0,Diesel,,,,
Nissan Micra Active XV Petrol,2017,399000.0,Individual,Manual,First Owner,30000.0,Petrol,,,,
Mahindra Xylo D4,2018,750000.0,Individual,Manual,First Owner,87000.0,Diesel,,,,
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000.0,Individual,Manual,First Owner,15000.0,Petrol,,,,
Renault KWID RXT,2017,315000.0,Individual,Manual,First Owner,16000.0,Petrol,,,,
Mahindra Xylo E4 BS III,2012,600000.0,Individual,Manual,First Owner,60000.0,Diesel,,,,
Maruti Wagon R LXI Minor,2010,100000.0,Individual,Manual,Fourth & Above Owner,60000.0,Petrol,,,,
Maruti SX4 ZXI MT BSIV,2011,250000.0,Individual,Manual,Third Owner,110000.0,Petrol,,,,
Renault KWID RXT,2017,350000.0,Individual,Manual,First Owner,25000.0,Petrol,,,,
Hyundai Creta 1.4 CRDi S,2016,780000.0,Individual,Manual,First Owner,60000.0,Diesel,,,,
Maruti Swift Dzire VDI,2014,434000.0,Individual,Manual,Second Owner,79350.0,Diesel,,,,
Hyundai Verna 1.6 VTVT AT S Option,2016,690000.0,Individual,Automatic,First Owner,80000.0,Petrol,,,,
Mahindra Scorpio LX BSIV,2014,555000.0,Individual,Manual,Second Owner,90000.0,Diesel,,,,
Maruti SX4 Vxi BSIII,2007,120000.0,Individual,Manual,Second Owner,90000.0,Petrol,,,,
Maruti Ertiga VDI,2014,500000.0,Individual,Manual,Second Owner,120000.0,Diesel,,,,
Chevrolet Beat Diesel,2013,165000.0,Individual,Manual,Second Owner,60000.0,Diesel,,,,
Maruti Zen LX,2004,95000.0,Individual,Manual,First Owner,50000.0,Petrol,,,,
Maruti Baleno Delta 1.2,2018,550000.0,Individual,Manual,First Owner,20000.0,Petrol,,,,
Maruti Swift Vdi BSIII,2007,100000.0,Individual,Manual,Fourth & Above Owner,110000.0,Diesel,,,,
Tata Nano Lx BSIV,2012,100000.0,Individual,Manual,Second Owner,50000.0,Petrol,,,,
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000.0,Individual,Manual,First Owner,100000.0,Diesel,,,,
Maruti Ertiga SHVS VDI,2016,800000.0,Individual,Manual,Second Owner,70000.0,Diesel,,,,
Hyundai Creta 1.6 CRDi SX,2016,840000.0,Individual,Manual,Second Owner,70000.0,Diesel,,,,
Honda Amaze S i-Vtech,2016,490000.0,Individual,Manual,First Owner,50000.0,Petrol,,,,
Tata Indica Vista Aqua 1.4 TDI,2010,125000.0,Individual,Manual,Second Owner,81000.0,Diesel,,,,
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000.0,Individual,Manual,Third Owner,120000.0,Diesel,,,,
Chevrolet Cruze LTZ,2015,1000000.0,Dealer,Manual,First Owner,3600.0,Diesel,,,,
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000.0,Dealer,Manual,First Owner,14272.0,Petrol,,,,
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000.0,Dealer,Manual,First Owner,49213.0,Diesel,,,,
Hyundai i10 Sportz 1.1L,2015,229999.0,Individual,Manual,First Owner,40000.0,Petrol,,,,
Maruti 800 Std,1998,40000.0,Individual,Manual,Fourth & Above Owner,40000.0,Petrol,,,,
Chevrolet Spark 1.0 LS,2012,130000.0,Individual,Manual,First Owner,80000.0,Petrol,,,,
Hyundai EON Era Plus,2015,200000.0,Individual,Manual,First Owner,70000.0,Petrol,,,,
Tata Indica Vista Aqua TDI BSIII,2011,120000.0,Individual,Manual,First Owner,70000.0,Diesel,,,,
Hyundai Santro LP zipPlus,2003,75000.0,Individual,Manual,First Owner,57000.0,Petrol,,,,
Tata Bolt Quadrajet XE,2016,250000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Maruti 800 AC BSIII,2005,100000.0,Individual,Manual,First Owner,30000.0,Petrol,,,,
Hyundai EON Era Plus,2013,280000.0,Individual,Manual,Second Owner,3240.0,Petrol,,,,
Hyundai i20 Magna 1.2,2015,540000.0,Individual,Manual,First Owner,5000.0,Petrol,,,,
Hyundai i20 1.2 Asta,2018,700000.0,Individual,Manual,First Owner,10000.0,Petrol,,,,
Maruti Ciaz VDi Plus,2015,525000.0,Individual,Manual,First Owner,100000.0,Diesel,,,,
Hyundai i20 Asta 1.4 CRDi,2016,430000.0,Individual,Manual,First Owner,80000.0,Diesel,,,,
Hyundai Santro LE,2002,65000.0,Individual,Manual,First Owner,70000.0,Petrol,,,,
Maruti Vitara Brezza VDi,2018,800000.0,Individual,Manual,First Owner,35000.0,Diesel,,,,
Hyundai Santro Xing XL eRLX Euro III,2007,75000.0,Individual,Manual,Second Owner,114000.0,Petrol,,,,
Hyundai Getz 1.3 GLS,2008,210000.0,Individual,Manual,First Owner,53772.0,Petrol,,,,
Mahindra Quanto C8,2012,195000.0,Individual,Manual,Second Owner,140000.0,Diesel,,,,
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Hyundai EON Magna Plus,2012,170000.0,Individual,Manual,First Owner,60000.0,Petrol,,,,
Renault KWID RXT,2016,225000.0,Individual,Manual,First Owner,25000.0,Petrol,,,,
Maruti Wagon R DUO LPG,2014,210000.0,Individual,Manual,First Owner,90000.0,Lpg,,,,
Maruti Wagon R LXI,2020,240000.0,Individual,Manual,First Owner,120000.0,Petrol,,,,
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000.0,Individual,Manual,First Owner,175000.0,Diesel,,,,
Chevrolet Spark 1.0 LS,2011,99000.0,Individual,Manual,Third Owner,100000.0,Petrol,,,,
Honda City i VTEC SV,2014,620000.0,Individual,Manual,First Owner,36000.0,Petrol,,,,
Honda Amaze VX i-DTEC,2013,500000.0,Individual,Manual,First Owner,30000.0,Diesel,,,,
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000.0,Individual,Automatic,Second Owner,40000.0,Petrol,,,,
Honda Brio E MT,2013,260000.0,Individual,Manual,Second Owner,70000.0,Petrol,,,,
Maruti Swift VVT ZXI,2017,550000.0,Individual,Manual,First Owner,60000.0,Petrol,,,,
Tata Indigo CR4,2011,150000.0,Individual,Manual,First Owner,155500.0,Diesel,,,,
Hyundai i10 Asta AT,2011,350000.0,Individual,Automatic,Second Owner,50000.0,Petrol,,,,
Chevrolet Beat LT,2016,320000.0,Individual,Manual,First Owner,40000.0,Petrol,,,,
Maruti Swift VDI BSIV,2015,400000.0,Individual,Manual,Third Owner,100000.0,Diesel,,,,
Maruti Alto LXi,2012,175000.0,Individual,Manual,Third Owner,80000.0,Petrol,,,,
Chevrolet Beat LT,2011,120000.0,Individual,Manual,Second Owner,90000.0,Petrol,,,,
Renault Duster 110PS Diesel RxZ,2013,320000.0,Individual,Manual,Second Owner,90000.0,Diesel,,,,
Hyundai Santro Xing XG,2006,70000.0,Individual,Manual,Third Owner,110000.0,Petrol,,,,
Maruti Swift Dzire ZXI Plus,2019,810000.0,Individual,Manual,First Owner,15000.0,Petrol,,,,
Maruti 800 AC,2007,95000.0,Individual,Manual,Second Owner,100000.0,Petrol,,,,
Maruti Alto K10 LXI CNG,2020,282000.0,Individual,Manual,First Owner,40000.0,Cng,,,,
Maruti 800 Std BSII,2004,80000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Tata Nano LX SE,2013,72000.0,Individual,Manual,First Owner,25000.0,Petrol,,,,
Hyundai i20 Magna 1.2,2016,600000.0,Individual,Manual,First Owner,25000.0,Petrol,,,,
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000.0,Individual,Manual,First Owner,23000.0,Petrol,,,,
Maruti Alto K10 VXI,2018,380000.0,Individual,Manual,First Owner,22155.0,Petrol,,,,
Maruti Ciaz 1.4 Delta,2018,650000.0,Individual,Manual,First Owner,70000.0,Petrol,,,,
Maruti Alto LX,2009,150000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Hyundai i20 Asta,2009,280000.0,Individual,Manual,Second Owner,110000.0,Petrol,,,,
Tata Nexon 1.2 Revotron XM,2018,430000.0,Individual,Manual,First Owner,30000.0,Petrol,,,,
Mahindra Bolero Power Plus SLX,2019,800000.0,Individual,Manual,First Owner,15000.0,Diesel,,,,
Maruti Zen D,2003,75000.0,Individual,Manual,Second Owner,100000.0,Diesel,,,,
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000.0,Individual,Automatic,First Owner,70000.0,Diesel,,,,
Maruti Eeco 7 Seater Standard BSIV,2017,390000.0,Individual,Manual,First Owner,24000.0,Petrol,,,,
Honda City 1.5 EXI,2005,100000.0,Individual,Manual,Second Owner,120000.0,Petrol,,,,
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000.0,Individual,Automatic,First Owner,35000.0,Diesel,,,,
Maruti SX4 Zxi with Leather BSIII,2007,175000.0,Individual,Manual,First Owner,78380.0,Petrol,,,,
Renault Duster 110PS Diesel RxZ,2012,434999.0,Individual,Manual,Second Owner,110000.0,Diesel,,,,
Ford Figo Diesel Titanium,2010,170000.0,Individual,Manual,Third Owner,90000.0,Diesel,,,,
Ford Figo Diesel Titanium,2011,190000.0,Individual,Manual,Third Owner,90000.0,Diesel,,,,
Maruti Swift Dzire VDi,2009,250000.0,Individual,Manual,Third Owner,150000.0,Diesel,,,,
Mahindra Xylo E4,2009,229999.0,Individual,Manual,Third Owner,230000.0,Diesel,,,,
Maruti Esteem Vxi - BSIII,2006,140000.0,Individual,Manual,Third Owner,70000.0,Petrol,,,,
Maruti Swift VDI BSIV,2017,600000.0,Individual,Manual,First Owner,80362.0,Diesel,,,,
Hyundai i20 1.2 Sportz,2012,280000.0,Individual,Manual,Third Owner,110000.0,Petrol,,,,
Chevrolet Beat Diesel LT,2012,150000.0,Individual,Manual,First Owner,60000.0,Diesel,,,,
Chevrolet Cruze LTZ AT,2015,650000.0,Individual,Automatic,First Owner,50000.0,Diesel,,,,
Nissan Micra XL,2014,210000.0,Individual,Manual,Second Owner,40000.0,Petrol,,,,
BMW 5 Series 520d Luxury Line,2017,2900000.0,Individual,Automatic,First Owner,40000.0,Diesel,,,,
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000.0,Dealer,Manual,First Owner,20000.0,Diesel,,,,
Hyundai EON Era Plus Option,2014,265000.0,Dealer,Manual,First Owner,55000.0,Petrol,,,,
Fiat Linea T Jet Emotion,2018,890000.0,Dealer,Manual,First Owner,1136.0,Petrol,,,,
Renault Scala RxL,2013,365000.0,Dealer,Manual,First Owner,55000.0,Petrol,,,,
Ford Figo Petrol Titanium,2014,350000.0,Dealer,Manual,First Owner,43000.0,Petrol,,,,
Maruti Ciaz ZDi SHVS,2016,685000.0,Individual,Manual,First Owner,60000.0,Diesel,,,,
Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000.0,Dealer,Manual,First Owner,2650.0,Diesel,,,,
Mahindra XUV500 W6 2WD,2017,1000000.0,Individual,Manual,First Owner,40000.0,Diesel,,,,
Mahindra XUV300 W8 Option,2019,1150000.0,Dealer,Manual,First Owner,15000.0,Petrol,,,,
Maruti Ertiga SHVS ZDI,2016,450000.0,Individual,Manual,Second Owner,115962.0,Diesel,,,,
Nissan Terrano XE D,2015,590000.0,Dealer,Manual,First Owner,65000.0,Diesel,,,,
Maruti S-Cross Facelift,2017,800000.0,Individual,Manual,First Owner,40000.0,Diesel,,,,
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000.0,Dealer,Manual,First Owner,58000.0,Diesel,,,,
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000.0,Individual,Automatic,First Owner,15000.0,Diesel,,,,
Hyundai EON Era Plus,2012,235000.0,Dealer,Manual,First Owner,54000.0,Petrol,,,,
Volkswagen Ameo 1.5 TDI Highline,2017,640000.0,Dealer,Manual,First Owner,56000.0,Diesel,,,,
Maruti Alto LX,2006,52000.0,Individual,Manual,Third Owner,120000.0,Petrol,,,,
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000.0,Individual,Manual,Second Owner,90000.0,Lpg,,,,
Maruti Alto LX,2012,140000.0,Individual,Manual,Second Owner,70000.0,Petrol,,,,
Hyundai Verna i (Petrol),2008,120000.0,Individual,Manual,Second Owner,90000.0,Petrol,,,,
Mahindra Renault Logan 1.5 DLS,2008,89999.0,Individual,Manual,First Owner,213000.0,Diesel,,,,
Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Mahindra Scorpio S11 BSIV,2017,1500000.0,Individual,Manual,First Owner,20000.0,Diesel,,,,
Hyundai i20 Active 1.2 SX,2017,700000.0,Individual,Manual,First Owner,10000.0,Petrol,,,,
Maruti SX4 Celebration Diesel,2012,285000.0,Individual,Manual,Second Owner,80000.0,Diesel,,,,
Hyundai Grand i10 Magna,2015,390000.0,Individual,Manual,First Owner,90000.0,Petrol,,,,
Maruti Alto LXi BSIII,2008,125000.0,Individual,Manual,First Owner,80000.0,Petrol,,,,
Maruti SX4 Zxi with Leather BSIII,2008,225000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Hyundai i10 Era,2011,175000.0,Individual,Manual,Second Owner,139000.0,Petrol,,,,
Toyota Innova 2.5 V Diesel 7-seater,2011,1075000.0,Individual,Manual,Second Owner,160000.0,Diesel,,,,
Honda Mobilio V i DTEC,2014,300000.0,Individual,Manual,First Owner,150000.0,Diesel,,,,
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000.0,Individual,Manual,Fourth & Above Owner,163000.0,Diesel,,,,
Tata Indica V2 2001-2011 DLS BSIII,2009,90000.0,Dealer,Manual,First Owner,120000.0,Diesel,,,,
Tata Indica Vista TDI LS,2011,120000.0,Individual,Manual,Second Owner,120000.0,Diesel,,,,
Chevrolet Beat Diesel LS,2012,220000.0,Individual,Manual,Second Owner,100000.0,Diesel,,,,
Tata Zest Quadrajet 1.3 75PS XE,2015,300000.0,Dealer,Manual,First Owner,140000.0,Diesel,,,,
Skoda Fabia 1.2L Diesel Ambiente,2010,180000.0,Dealer,Manual,Second Owner,87000.0,Diesel,,,,
Maruti 800 Std,2013,170000.0,Individual,Manual,First Owner,70000.0,Petrol,,,,
Ford Figo Petrol Titanium,2015,300000.0,Individual,Manual,Second Owner,50000.0,Petrol,,,,
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000.0,Individual,Manual,First Owner,70000.0,Diesel,,,,
Hyundai Grand i10 1.2 CRDi Asta,2018,465000.0,Individual,Manual,First Owner,25000.0,Diesel,,,,
Chevrolet Beat Diesel LT,2011,130000.0,Individual,Manual,Second Owner,80000.0,Diesel,,,,
Datsun GO Plus T Option Petrol,2018,434999.0,Individual,Manual,First Owner,10000.0,Petrol,,,,
Hyundai Grand i10 1.2 Kappa Asta,2018,500000.0,Individual,Manual,First Owner,32000.0,Petrol,,,,
Maruti Omni MPI STD BSIV,2018,200000.0,Individual,Manual,First Owner,10000.0,Petrol,,,,
Maruti Baleno Alpha 1.2,2017,625000.0,Dealer,Manual,First Owner,52000.0,Petrol,,,,
Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000.0,Individual,Manual,Third Owner,120000.0,Diesel,,,,
Hyundai Elite i20 Asta Option BSIV,2019,800000.0,Individual,Manual,First Owner,11240.0,Petrol,,,,
Hyundai Grand i10 CRDi Magna,2017,490000.0,Dealer,Manual,First Owner,66000.0,Diesel,,,,
Maruti Ertiga SHVS ZDI,2017,880000.0,Dealer,Manual,First Owner,64000.0,Diesel,,,,
Hyundai Santro Xing GL Plus,2013,290000.0,Individual,Manual,First Owner,49000.0,Petrol,,,,
Tata Sumo GX TC 7 Str BSIII,2006,115999.0,Individual,Manual,Second Owner,100000.0,Diesel,,,,
Renault KWID RXT,2018,360000.0,Individual,Manual,First Owner,26500.0,Petrol,,,,
Maruti 800 AC,2002,65000.0,Individual,Manual,Second Owner,100000.0,Petrol,,,,
Maruti Vitara Brezza LDi Option,2017,685000.0,Dealer,Manual,First Owner,72000.0,Diesel,,,,
Honda Jazz S,2009,300000.0,Individual,Manual,First Owner,50000.0,Petrol,,,,
Hyundai i20 1.4 Sportz,2017,680000.0,Dealer,Manual,First Owner,44000.0,Diesel,,,,
Maruti Ertiga SHVS ZDI Plus,2017,1000000.0,Individual,Manual,Second Owner,60000.0,Diesel,,,,
Tata Sumo SE Plus BSIII,2002,100000.0,Individual,Manual,First Owner,120000.0,Diesel,,,,
Mahindra Xylo E4,2010,160000.0,Individual,Manual,First Owner,130000.0,Diesel,,,,
Maruti Swift ZDi BSIV,2017,450000.0,Individual,Manual,First Owner,70000.0,Diesel,,,,
Maruti Ertiga VXI,2014,600000.0,Individual,Manual,First Owner,20000.0,Petrol,,,,
Hyundai i20 1.4 Magna ABS,2009,180000.0,Individual,Manual,Second Owner,60000.0,Diesel,,,,
Maruti Alto LXi,2007,100000.0,Individual,Manual,First Owner,195000.0,Petrol,,,,
Maruti Alto LXi,2010,120000.0,Individual,Manual,Second Owner,90000.0,Petrol,,,,
Hyundai Getz GL,2006,130000.0,Individual,Manual,Third Owner,80000.0,Petrol,,,,
Maruti Wagon R LX BS IV,2011,160000.0,Individual,Manual,First Owner,155000.0,Petrol,,,,
Mahindra Bolero Power Plus SLX,2019,860000.0,Individual,Manual,First Owner,35000.0,Diesel,,,,
